dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
agnews,blstm,0,0.1,456,temporalrnn,0.5350877192982456,12,244,456,919,12,0.26550598476605003,1.0,0.6971428571428571
agnews,blstm,0,0.2,912,temporalrnn,0.48355263157894735,12,441,912,919,12,0.47986942328618065,1.0,0.6518847006651884
agnews,blstm,1,0.1,456,temporalrnn,0.5570175438596491,12,254,456,947,12,0.2682154171066526,1.0,0.7154929577464789
agnews,blstm,1,0.2,912,temporalrnn,0.5175438596491229,12,472,912,947,12,0.498416050686378,1.0,0.6820809248554913
agnews,blstm,2,0.1,456,temporalrnn,0.5526315789473685,12,252,456,962,12,0.26195426195426197,1.0,0.711864406779661
agnews,blstm,2,0.2,912,temporalrnn,0.5131578947368421,12,468,912,962,12,0.4864864864864865,1.0,0.6782608695652175
agnews,blstm,3,0.1,456,temporalrnn,0.5372807017543859,12,245,456,930,12,0.26344086021505375,1.0,0.6990014265335235
agnews,blstm,3,0.2,912,temporalrnn,0.49451754385964913,12,451,912,930,12,0.48494623655913977,1.0,0.6617754952311078
agnews,blstm,4,0.1,456,temporalrnn,0.5307017543859649,12,242,456,899,12,0.26918798665183535,1.0,0.6934097421203438
agnews,blstm,4,0.2,912,temporalrnn,0.4857456140350877,12,443,912,899,12,0.492769744160178,1.0,0.6538745387453874
agnews,blstm,5,0.1,456,temporalrnn,0.5570175438596491,12,254,456,966,12,0.2629399585921325,1.0,0.7154929577464789
agnews,blstm,5,0.2,912,temporalrnn,0.5,12,456,912,966,12,0.4720496894409938,1.0,0.6666666666666666
agnews,blstm,6,0.1,456,temporalrnn,0.5504385964912281,12,251,456,956,12,0.2625523012552301,1.0,0.71004243281471
agnews,blstm,6,0.2,912,temporalrnn,0.5076754385964912,12,463,912,956,12,0.48430962343096234,1.0,0.6734545454545454
agnews,blstm,7,0.1,456,temporalrnn,0.5657894736842105,12,258,456,888,12,0.2905405405405405,1.0,0.7226890756302521
