dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
agnews,gru,0,0.1,456,temporalrnn,0.5109649122807017,12,233,456,876,12,0.2659817351598174,1.0,0.6763425253991292
agnews,gru,0,0.2,912,temporalrnn,0.45614035087719296,12,416,912,876,12,0.4748858447488584,1.0,0.6265060240963854
agnews,gru,1,0.1,456,temporalrnn,0.5921052631578947,12,270,456,980,12,0.2755102040816326,1.0,0.743801652892562
agnews,gru,1,0.2,912,temporalrnn,0.5350877192982456,12,488,912,980,12,0.49795918367346936,1.0,0.6971428571428571
agnews,gru,2,0.1,456,temporalrnn,0.5767543859649122,12,263,456,964,12,0.27282157676348545,1.0,0.7315716272600834
agnews,gru,2,0.2,912,temporalrnn,0.5164473684210527,12,471,912,964,12,0.48858921161825725,1.0,0.6811279826464208
agnews,gru,3,0.1,456,temporalrnn,0.5241228070175439,12,239,456,931,12,0.25671321160042965,1.0,0.6877697841726619
agnews,gru,3,0.2,912,temporalrnn,0.4901315789473684,12,447,912,931,12,0.48012889366272826,1.0,0.6578366445916115
agnews,gru,4,0.1,456,temporalrnn,0.5855263157894737,12,267,456,898,12,0.2973273942093541,1.0,0.7385892116182573
agnews,gru,4,0.2,912,temporalrnn,0.5087719298245614,12,464,912,898,12,0.5167037861915368,1.0,0.6744186046511628
agnews,gru,5,0.1,456,temporalrnn,0.5701754385964912,12,260,456,974,12,0.2669404517453799,1.0,0.7262569832402235
agnews,gru,5,0.2,912,temporalrnn,0.5098684210526315,12,465,912,974,12,0.47741273100616016,1.0,0.6753812636165577
agnews,gru,6,0.1,456,temporalrnn,0.5635964912280702,12,257,456,936,12,0.2745726495726496,1.0,0.7208976157082749
agnews,gru,6,0.2,912,temporalrnn,0.48464912280701755,12,442,912,936,12,0.4722222222222222,1.0,0.6528803545051699
agnews,gru,7,0.1,456,temporalrnn,0.543859649122807,12,248,456,883,12,0.2808607021517554,1.0,0.7045454545454546
agnews,gru,7,0.2,912,temporalrnn,0.4868421052631579,12,444,912,883,12,0.5028312570781427,1.0,0.6548672566371682
agnews,gru,8,0.1,456,temporalrnn,0.5592105263157895,12,255,456,889,12,0.28683914510686165,1.0,0.7172995780590717
