dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
agnews,lstm,0,0.1,456,temporalrnn,0.6118421052631579,12,279,456,1058,12,0.2637051039697543,1.0,0.7591836734693876
agnews,lstm,0,0.2,912,temporalrnn,0.5383771929824561,12,491,912,1058,12,0.46408317580340264,1.0,0.6999287241625088
agnews,lstm,1,0.1,456,temporalrnn,0.5701754385964912,12,260,456,1049,12,0.24785510009532888,1.0,0.7262569832402235
agnews,lstm,1,0.2,912,temporalrnn,0.5274122807017544,12,481,912,1049,12,0.45853193517635843,1.0,0.6905958363244796
agnews,lstm,2,0.1,456,temporalrnn,0.5789473684210527,12,264,456,1044,12,0.25287356321839083,1.0,0.7333333333333334
agnews,lstm,2,0.2,912,temporalrnn,0.5252192982456141,12,479,912,1044,12,0.45881226053639845,1.0,0.6887131560028756
agnews,lstm,3,0.1,456,temporalrnn,0.5350877192982456,12,244,456,1020,12,0.23921568627450981,1.0,0.6971428571428571
agnews,lstm,3,0.2,912,temporalrnn,0.48464912280701755,12,442,912,1020,12,0.43333333333333335,1.0,0.6528803545051699
agnews,lstm,4,0.1,456,temporalrnn,0.5570175438596491,12,254,456,990,12,0.25656565656565655,1.0,0.7154929577464789
agnews,lstm,4,0.2,912,temporalrnn,0.5010964912280702,12,457,912,990,12,0.4616161616161616,1.0,0.6676406135865596
agnews,lstm,5,0.1,456,temporalrnn,0.543859649122807,12,248,456,1072,12,0.23134328358208955,1.0,0.7045454545454546
agnews,lstm,5,0.2,912,temporalrnn,0.5142543859649122,12,469,912,1072,12,0.4375,1.0,0.6792179580014482
agnews,lstm,6,0.1,456,temporalrnn,0.5548245614035088,12,253,456,1046,12,0.2418738049713193,1.0,0.7136812411847673
agnews,lstm,6,0.2,912,temporalrnn,0.5010964912280702,12,457,912,1046,12,0.43690248565965584,1.0,0.6676406135865596
agnews,lstm,7,0.1,456,temporalrnn,0.5526315789473685,12,252,456,988,12,0.2550607287449393,1.0,0.711864406779661
agnews,lstm,7,0.2,912,temporalrnn,0.5054824561403509,12,461,912,988,12,0.4665991902834008,1.0,0.6715222141296431
agnews,lstm,8,0.1,456,temporalrnn,0.5635964912280702,12,257,456,998,12,0.2575150300601202,1.0,0.7208976157082749
agnews,lstm,8,0.2,912,temporalrnn,0.5153508771929824,12,470,912,998,12,0.4709418837675351,1.0,0.6801736613603473
agnews,lstm,9,0.1,456,temporalrnn,0.5548245614035088,12,253,456,1012,12,0.25,1.0,0.7136812411847673
agnews,lstm,9,0.2,912,temporalrnn,0.49780701754385964,12,454,912,1012,12,0.44861660079051385,1.0,0.6647144948755491
agnews,lstm,10,0.1,456,temporalrnn,0.5416666666666666,12,247,456,1050,12,0.23523809523809525,1.0,0.7027027027027027
agnews,lstm,10,0.2,912,temporalrnn,0.5010964912280702,12,457,912,1050,12,0.43523809523809526,1.0,0.6676406135865596
agnews,lstm,11,0.1,456,temporalrnn,0.5482456140350878,12,250,456,1018,12,0.2455795677799607,1.0,0.708215297450425
agnews,lstm,11,0.2,912,temporalrnn,0.5010964912280702,12,457,912,1018,12,0.4489194499017682,1.0,0.6676406135865596
agnews,lstm,12,0.1,456,temporalrnn,0.5570175438596491,12,254,456,1002,12,0.25349301397205587,1.0,0.7154929577464789
agnews,lstm,12,0.2,912,temporalrnn,0.5087719298245614,12,464,912,1002,12,0.4630738522954092,1.0,0.6744186046511628
agnews,lstm,13,0.1,456,temporalrnn,0.5723684210526315,12,261,456,1028,12,0.2538910505836576,1.0,0.7280334728033473
agnews,lstm,13,0.2,912,temporalrnn,0.5131578947368421,12,468,912,1028,12,0.45525291828793774,1.0,0.6782608695652175
agnews,lstm,14,0.1,456,temporalrnn,0.5877192982456141,12,268,456,1026,12,0.26120857699805067,1.0,0.7403314917127072
agnews,lstm,14,0.2,912,temporalrnn,0.5285087719298246,12,482,912,1026,12,0.4697855750487329,1.0,0.6915351506456242
agnews,lstm,15,0.1,456,temporalrnn,0.5570175438596491,12,254,456,1037,12,0.24493731918997108,1.0,0.7154929577464789
agnews,lstm,15,0.2,912,temporalrnn,0.5010964912280702,12,457,912,1037,12,0.4406943105110897,1.0,0.6676406135865596
agnews,lstm,16,0.1,456,temporalrnn,0.5701754385964912,12,260,456,1030,12,0.2524271844660194,1.0,0.7262569832402235
agnews,lstm,16,0.2,912,temporalrnn,0.5153508771929824,12,470,912,1030,12,0.4563106796116505,1.0,0.6801736613603473
agnews,lstm,17,0.1,456,temporalrnn,0.5570175438596491,12,254,456,1022,12,0.24853228962818003,1.0,0.7154929577464789
agnews,lstm,17,0.2,912,temporalrnn,0.5175438596491229,12,472,912,1022,12,0.461839530332681,1.0,0.6820809248554913
agnews,lstm,18,0.1,456,temporalrnn,0.5460526315789473,12,249,456,1015,12,0.24532019704433497,1.0,0.7063829787234043
