dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
fashion,blstm,0,0.1,600,temporalrnn,0.7933333333333333,75,476,600,2374,82,0.2005054759898905,0.9146341463414634,0.8496763137852247
fashion,blstm,0,0.2,1200,temporalrnn,0.735,79,882,1200,2374,82,0.37152485256950296,0.9634146341463414,0.833847921303942
fashion,blstm,1,0.1,600,temporalrnn,0.7683333333333333,74,461,600,2348,84,0.19633730834752983,0.8809523809523809,0.8207978441845917
fashion,blstm,1,0.2,1200,temporalrnn,0.7058333333333333,80,847,1200,2348,84,0.360732538330494,0.9523809523809523,0.810778471773518
fashion,blstm,2,0.1,600,temporalrnn,0.75,67,450,600,2339,78,0.1923899102180419,0.8589743589743589,0.8007968127490038
fashion,blstm,2,0.2,1200,temporalrnn,0.7166666666666667,73,860,1200,2339,78,0.367678495083369,0.9358974358974359,0.8117403672097234
fashion,blstm,3,0.1,600,temporalrnn,0.7683333333333333,75,461,600,2345,82,0.19658848614072494,0.9146341463414634,0.8351247554406898
fashion,blstm,3,0.2,1200,temporalrnn,0.7116666666666667,76,854,1200,2345,82,0.3641791044776119,0.926829268292683,0.8051206986379537
fashion,blstm,4,0.1,600,temporalrnn,0.77,73,462,600,2332,82,0.19811320754716982,0.8902439024390244,0.825767592184516
fashion,blstm,4,0.2,1200,temporalrnn,0.7258333333333333,79,871,1200,2332,82,0.3734991423670669,0.9634146341463414,0.8279168822418211
fashion,blstm,5,0.1,600,temporalrnn,0.7783333333333333,73,467,600,2338,80,0.19974337040205303,0.9125,0.8400936421882701
fashion,blstm,5,0.2,1200,temporalrnn,0.7191666666666666,79,863,1200,2338,80,0.36911890504704875,0.9875,0.83223876953125
fashion,blstm,6,0.1,600,temporalrnn,0.7583333333333333,79,455,600,2337,82,0.19469405220367994,0.9634146341463414,0.8486601345767915
fashion,blstm,6,0.2,1200,temporalrnn,0.7225,81,867,1200,2337,82,0.37098844672657255,0.9878048780487805,0.8345752076722878
fashion,blstm,7,0.1,600,temporalrnn,0.7683333333333333,77,461,600,2354,82,0.19583687340696687,0.9390243902439024,0.8451465441299016
fashion,blstm,7,0.2,1200,temporalrnn,0.7175,80,861,1200,2354,82,0.36576040781648256,0.975609756097561,0.8268808297619475
fashion,blstm,8,0.1,600,temporalrnn,0.7816666666666666,74,469,600,2376,82,0.1973905723905724,0.9024390243902439,0.8377223683892925
fashion,blstm,8,0.2,1200,temporalrnn,0.7283333333333334,79,874,1200,2376,82,0.36784511784511786,0.9634146341463414,0.8295408126486772
fashion,blstm,9,0.1,600,temporalrnn,0.7816666666666666,77,469,600,2336,83,0.2007705479452055,0.927710843373494,0.848449962996464
fashion,blstm,9,0.2,1200,temporalrnn,0.7158333333333333,80,859,1200,2336,83,0.367722602739726,0.963855421686747,0.8215329623364435
fashion,blstm,10,0.1,600,temporalrnn,0.765,78,459,600,2291,84,0.2003491924923614,0.9285714285714286,0.8388865457612823
fashion,blstm,10,0.2,1200,temporalrnn,0.715,84,858,1200,2291,84,0.37450894805761675,1.0,0.8338192419825073
fashion,blstm,11,0.1,600,temporalrnn,0.7633333333333333,76,458,600,2357,82,0.19431480695799747,0.926829268292683,0.8371735052191063
fashion,blstm,11,0.2,1200,temporalrnn,0.7258333333333333,80,871,1200,2357,82,0.36953754773016545,0.975609756097561,0.8323876193092903
fashion,blstm,12,0.1,600,temporalrnn,0.7616666666666667,73,457,600,2346,80,0.1947996589940324,0.9125,0.830288700846192
fashion,blstm,12,0.2,1200,temporalrnn,0.7283333333333334,77,874,1200,2346,80,0.37254901960784315,0.9625,0.829201577131592
fashion,blstm,13,0.1,600,temporalrnn,0.7633333333333333,73,458,600,2324,80,0.19707401032702238,0.9125,0.8312779711586276
fashion,blstm,13,0.2,1200,temporalrnn,0.7016666666666667,74,842,1200,2324,80,0.3623063683304647,0.925,0.7980020491803279
fashion,blstm,14,0.1,600,temporalrnn,0.7583333333333333,74,455,600,2323,80,0.19586741282823936,0.925,0.8334158415841584
fashion,blstm,14,0.2,1200,temporalrnn,0.7141666666666666,76,857,1200,2323,80,0.36891950064571677,0.95,0.815373059589384
fashion,blstm,15,0.1,600,temporalrnn,0.7983333333333333,73,479,600,2332,83,0.20540308747855918,0.8795180722891566,0.8369615950788085
fashion,blstm,15,0.2,1200,temporalrnn,0.7308333333333333,79,877,1200,2332,83,0.37607204116638077,0.9518072289156626,0.8268105089175434
