dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
fashion,gru,0,0.1,600,temporalrnn,0.8033333333333333,79,482,600,2319,84,0.20784821043553256,0.9404761904761905,0.8665119242672491
fashion,gru,0,0.2,1200,temporalrnn,0.7325,81,879,1200,2319,84,0.37904269081500647,0.9642857142857143,0.8325615659861082
fashion,gru,1,0.1,600,temporalrnn,0.7133333333333334,80,428,600,2241,85,0.19098616688978134,0.9411764705882353,0.8115667219720313
fashion,gru,1,0.2,1200,temporalrnn,0.6675,82,801,1200,2241,85,0.357429718875502,0.9647058823529412,0.7890440580232453
fashion,gru,2,0.1,600,temporalrnn,0.7466666666666667,75,448,600,2257,81,0.19849357554275587,0.9259259259259259,0.826690286389135
fashion,gru,2,0.2,1200,temporalrnn,0.6966666666666667,80,836,1200,2257,81,0.37040319007532124,0.9876543209876543,0.8170246035818123
fashion,gru,3,0.1,600,temporalrnn,0.7533333333333333,79,452,600,2292,86,0.19720767888307156,0.9186046511627907,0.8278004451038574
fashion,gru,3,0.2,1200,temporalrnn,0.7041666666666667,82,845,1200,2292,86,0.36867364746945896,0.9534883720930233,0.8100777459519495
fashion,gru,4,0.1,600,temporalrnn,0.75,74,450,600,2278,83,0.19754170324846357,0.891566265060241,0.8146788990825689
fashion,gru,4,0.2,1200,temporalrnn,0.6958333333333333,79,835,1200,2278,83,0.3665496049165935,0.9518072289156626,0.8039365040675178
fashion,gru,5,0.1,600,temporalrnn,0.75,76,450,600,2280,83,0.19736842105263158,0.9156626506024096,0.8245931283905968
fashion,gru,5,0.2,1200,temporalrnn,0.6841666666666667,81,821,1200,2280,83,0.3600877192982456,0.9759036144578314,0.8044005491614402
fashion,gru,6,0.1,600,temporalrnn,0.775,80,465,600,2283,85,0.20367936925098554,0.9411764705882353,0.8500428449014567
fashion,gru,6,0.2,1200,temporalrnn,0.7216666666666667,84,866,1200,2283,85,0.3793254489706526,0.9882352941176471,0.8341723525027235
fashion,gru,7,0.1,600,temporalrnn,0.7666666666666667,75,460,600,2323,82,0.19801980198019803,0.9146341463414634,0.8341392649903289
fashion,gru,7,0.2,1200,temporalrnn,0.705,77,846,1200,2323,82,0.3641842445114077,0.9390243902439024,0.8053556857799866
fashion,gru,8,0.1,600,temporalrnn,0.7433333333333333,77,446,600,2329,85,0.1914984972091026,0.9058823529411765,0.8165973130424444
fashion,gru,8,0.2,1200,temporalrnn,0.7208333333333333,81,865,1200,2329,85,0.3714040360669815,0.9529411764705882,0.8207936740371943
fashion,gru,9,0.1,600,temporalrnn,0.735,73,441,600,2280,81,0.19342105263157894,0.9012345679012346,0.8096729165880712
fashion,gru,9,0.2,1200,temporalrnn,0.6991666666666667,78,839,1200,2280,81,0.36798245614035086,0.9629629629629629,0.8101312833082652
fashion,gru,10,0.1,600,temporalrnn,0.735,78,441,600,2213,82,0.19927699954812472,0.9512195121951219,0.829247125189846
fashion,gru,10,0.2,1200,temporalrnn,0.6841666666666667,79,821,1200,2213,82,0.3709896068685043,0.9634146341463414,0.8001258311641851
fashion,gru,11,0.1,600,temporalrnn,0.755,79,453,600,2279,83,0.19877139096094779,0.9518072289156626,0.8420569653760632
fashion,gru,11,0.2,1200,temporalrnn,0.6966666666666667,81,836,1200,2279,83,0.3668275559455902,0.9759036144578314,0.8129757245419839
fashion,gru,12,0.1,600,temporalrnn,0.755,74,453,600,2342,83,0.19342442356959863,0.891566265060241,0.8176197270698423
fashion,gru,12,0.2,1200,temporalrnn,0.7175,82,861,1200,2342,83,0.3676345004269855,0.9879518072289156,0.8312816799420709
fashion,gru,13,0.1,600,temporalrnn,0.7466666666666667,78,448,600,2272,80,0.19718309859154928,0.975,0.8456921587608905
fashion,gru,13,0.2,1200,temporalrnn,0.69,78,828,1200,2272,80,0.3644366197183099,0.975,0.8081081081081081
fashion,gru,14,0.1,600,temporalrnn,0.765,79,459,600,2290,82,0.2004366812227074,0.9634146341463414,0.8528187398574754
fashion,gru,14,0.2,1200,temporalrnn,0.7175,79,861,1200,2290,82,0.3759825327510917,0.9634146341463414,0.8224688939674248
fashion,gru,15,0.1,600,temporalrnn,0.7416666666666667,72,445,600,2297,80,0.1937309534175011,0.9,0.8131979695431474
fashion,gru,15,0.2,1200,temporalrnn,0.7083333333333334,79,850,1200,2297,80,0.370047888550283,0.9875,0.824938574938575
fashion,gru,16,0.1,600,temporalrnn,0.7516666666666667,80,451,600,2298,84,0.19625761531766753,0.9523809523809523,0.8402030645987612
fashion,gru,16,0.2,1200,temporalrnn,0.7133333333333334,83,856,1200,2298,84,0.37249782419495214,0.9880952380952381,0.8285287806698387
fashion,gru,17,0.1,600,temporalrnn,0.7683333333333333,75,461,600,2266,82,0.20344218887908208,0.9146341463414634,0.8351247554406898
fashion,gru,17,0.2,1200,temporalrnn,0.7,80,840,1200,2266,82,0.3706972639011474,0.975609756097561,0.8151382823871907
fashion,gru,18,0.1,600,temporalrnn,0.7516666666666667,76,451,600,2317,83,0.19464825205006475,0.9156626506024096,0.8255994604554815
fashion,gru,18,0.2,1200,temporalrnn,0.7166666666666667,82,860,1200,2317,83,0.37116961588260683,0.9879518072289156,0.8307221109671339
fashion,gru,19,0.1,600,temporalrnn,0.77,77,462,600,2295,79,0.20130718954248367,0.9746835443037974,0.8603351955307262
fashion,gru,19,0.2,1200,temporalrnn,0.7208333333333333,77,865,1200,2295,79,0.3769063180827887,0.9746835443037974,0.8287554048589292
fashion,gru,20,0.1,600,temporalrnn,0.74,76,444,600,2305,84,0.1926247288503254,0.9047619047619048,0.814128546612623
fashion,gru,20,0.2,1200,temporalrnn,0.7008333333333333,84,841,1200,2305,84,0.3648590021691974,1.0,0.8241058304752573
fashion,gru,21,0.1,600,temporalrnn,0.745,77,447,600,2273,84,0.19665640123185218,0.9166666666666666,0.8219658976930792
fashion,gru,21,0.2,1200,temporalrnn,0.6966666666666667,82,836,1200,2273,84,0.36779586449626045,0.9761904761904762,0.8130752443305816
fashion,gru,22,0.1,600,temporalrnn,0.75,76,450,600,2280,84,0.19736842105263158,0.9047619047619048,0.8201438848920864
fashion,gru,22,0.2,1200,temporalrnn,0.7116666666666667,80,854,1200,2280,84,0.37456140350877193,0.9523809523809523,0.8146134401678828
fashion,gru,23,0.1,600,temporalrnn,0.7366666666666667,79,442,600,2257,84,0.1958351794417368,0.9404761904761905,0.8261877720991861
