dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
fashion,lstm,0,0.1,600,temporalrnn,0.7916666666666666,70,475,600,2326,82,0.20421324161650903,0.8536585365853658,0.8214947498455837
fashion,lstm,0,0.2,1200,temporalrnn,0.7591666666666667,79,911,1200,2326,82,0.39165950128976784,0.9634146341463414,0.8491817205696687
fashion,lstm,1,0.1,600,temporalrnn,0.7616666666666667,81,457,600,2271,84,0.20123293703214443,0.9642857142857143,0.8510829079873086
fashion,lstm,1,0.2,1200,temporalrnn,0.72,84,864,1200,2271,84,0.380449141347424,1.0,0.8372093023255813
fashion,lstm,2,0.1,600,temporalrnn,0.7483333333333333,74,449,600,2250,81,0.19955555555555557,0.9135802469135802,0.8227413983087571
fashion,lstm,2,0.2,1200,temporalrnn,0.7358333333333333,79,883,1200,2250,81,0.39244444444444443,0.9753086419753086,0.8388136337127157
fashion,lstm,3,0.1,600,temporalrnn,0.7566666666666667,75,454,600,2272,84,0.19982394366197184,0.8928571428571429,0.8191397228637414
fashion,lstm,3,0.2,1200,temporalrnn,0.725,82,870,1200,2272,84,0.3829225352112676,0.9761904761904762,0.8320503848845345
fashion,lstm,4,0.1,600,temporalrnn,0.7783333333333333,77,467,600,2292,83,0.2037521815008726,0.927710843373494,0.8464825037370087
fashion,lstm,4,0.2,1200,temporalrnn,0.7283333333333334,82,874,1200,2292,83,0.38132635253054104,0.9879518072289156,0.8385066279790806
fashion,lstm,5,0.1,600,temporalrnn,0.7716666666666666,76,463,600,2314,82,0.20008643042350907,0.926829268292683,0.8421606873608884
fashion,lstm,5,0.2,1200,temporalrnn,0.7308333333333333,81,877,1200,2314,82,0.37899740708729474,0.9878048780487805,0.8401078562389866
fashion,lstm,6,0.1,600,temporalrnn,0.7666666666666667,75,460,600,2288,83,0.20104895104895104,0.9036144578313253,0.8295263284443376
fashion,lstm,6,0.2,1200,temporalrnn,0.7375,79,885,1200,2288,83,0.3868006993006993,0.9518072289156626,0.8310599982169921
fashion,lstm,7,0.1,600,temporalrnn,0.78,78,468,600,2319,83,0.2018111254851229,0.9397590361445783,0.8524590163934427
fashion,lstm,7,0.2,1200,temporalrnn,0.7291666666666666,79,875,1200,2319,83,0.3773178094006037,0.9518072289156626,0.8257428699417649
fashion,lstm,8,0.1,600,temporalrnn,0.8033333333333333,75,482,600,2342,79,0.2058070025619129,0.9493670886075949,0.8702664965454151
fashion,lstm,8,0.2,1200,temporalrnn,0.7483333333333333,79,898,1200,2342,79,0.38343296327924853,1.0,0.8560533841754051
fashion,lstm,9,0.1,600,temporalrnn,0.775,76,465,600,2294,82,0.20270270270270271,0.926829268292683,0.8441418846291653
fashion,lstm,9,0.2,1200,temporalrnn,0.7466666666666667,81,896,1200,2294,82,0.3905841325196164,0.9878048780487805,0.8504734227055405
fashion,lstm,10,0.1,600,temporalrnn,0.7866666666666666,77,472,600,2260,81,0.2088495575221239,0.9506172839506173,0.8609058176994504
fashion,lstm,10,0.2,1200,temporalrnn,0.7308333333333333,81,877,1200,2260,81,0.38805309734513277,1.0,0.8444872412132883
fashion,lstm,11,0.1,600,temporalrnn,0.74,77,444,600,2282,84,0.19456617002629273,0.9166666666666666,0.8189134808853119
fashion,lstm,11,0.2,1200,temporalrnn,0.7108333333333333,81,853,1200,2282,84,0.373794916739702,0.9642857142857143,0.8183853315329401
fashion,lstm,12,0.1,600,temporalrnn,0.755,75,453,600,2324,79,0.1949225473321859,0.9493670886075949,0.8411006721378439
fashion,lstm,12,0.2,1200,temporalrnn,0.7308333333333333,78,877,1200,2324,79,0.37736660929432014,0.9873417721518988,0.8399403252641466
fashion,lstm,13,0.1,600,temporalrnn,0.78,79,468,600,2314,83,0.20224719101123595,0.9518072289156626,0.857381383052734
fashion,lstm,13,0.2,1200,temporalrnn,0.7333333333333333,81,880,1200,2314,83,0.3802938634399309,0.9759036144578314,0.837406015037594
