dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
mnist,blstm,0,0.1,600,temporalrnn,0.805,87,483,600,2164,89,0.2231977818853974,0.9775280898876404,0.8829146837278199
mnist,blstm,0,0.2,1200,temporalrnn,0.7558333333333334,88,907,1200,2164,89,0.41913123844731975,0.9887640449438202,0.8567487642427397
mnist,blstm,1,0.1,600,temporalrnn,0.8266666666666667,87,496,600,2170,89,0.22857142857142856,0.9775280898876404,0.8957900855268621
mnist,blstm,1,0.2,1200,temporalrnn,0.78,88,936,1200,2170,89,0.4313364055299539,0.9887640449438202,0.8720619997459027
mnist,blstm,2,0.1,600,temporalrnn,0.825,87,495,600,2122,90,0.23327049952874646,0.9666666666666667,0.890232558139535
mnist,blstm,2,0.2,1200,temporalrnn,0.7583333333333333,90,910,1200,2122,90,0.4288407163053723,1.0,0.8625592417061612
mnist,blstm,3,0.1,600,temporalrnn,0.805,86,483,600,2122,89,0.22761545711592837,0.9662921348314607,0.8783025151447874
mnist,blstm,3,0.2,1200,temporalrnn,0.765,89,918,1200,2122,89,0.43261074458058435,1.0,0.8668555240793201
mnist,blstm,4,0.1,600,temporalrnn,0.78,87,468,600,2152,89,0.2174721189591078,0.9775280898876404,0.8676639815880322
mnist,blstm,4,0.2,1200,temporalrnn,0.765,89,918,1200,2152,89,0.42657992565055763,1.0,0.8668555240793201
mnist,blstm,5,0.1,600,temporalrnn,0.8066666666666666,86,484,600,2142,90,0.22595704948646125,0.9555555555555556,0.8748213535098781
mnist,blstm,5,0.2,1200,temporalrnn,0.7708333333333334,90,925,1200,2142,90,0.43183940242763774,1.0,0.8705882352941177
mnist,blstm,6,0.1,600,temporalrnn,0.7883333333333333,89,473,600,2143,90,0.22071861875874943,0.9888888888888889,0.8772949880170887
mnist,blstm,6,0.2,1200,temporalrnn,0.7633333333333333,90,916,1200,2143,90,0.42743817078861407,1.0,0.8657844990548205
mnist,blstm,7,0.1,600,temporalrnn,0.81,87,486,600,2142,89,0.226890756302521,0.9775280898876404,0.8859136337921931
mnist,blstm,7,0.2,1200,temporalrnn,0.7716666666666666,88,926,1200,2142,89,0.4323062558356676,0.9887640449438202,0.8668290659206228
mnist,blstm,8,0.1,600,temporalrnn,0.8266666666666667,88,496,600,2196,90,0.22586520947176686,0.9777777777777777,0.8958949096880131
mnist,blstm,8,0.2,1200,temporalrnn,0.8025,90,963,1200,2196,90,0.4385245901639344,1.0,0.8904299583911235
mnist,blstm,9,0.1,600,temporalrnn,0.795,89,477,600,2127,90,0.22425952045133993,0.9888888888888889,0.8814076611647463
mnist,blstm,9,0.2,1200,temporalrnn,0.7475,90,897,1200,2127,90,0.4217207334273625,1.0,0.8555078683834049
mnist,blstm,10,0.1,600,temporalrnn,0.8016666666666666,85,481,600,2115,88,0.22742316784869976,0.9659090909090909,0.8761572089833705
mnist,blstm,10,0.2,1200,temporalrnn,0.7541666666666667,88,905,1200,2115,88,0.42789598108747046,1.0,0.8598574821852731
mnist,blstm,11,0.1,600,temporalrnn,0.8083333333333333,87,485,600,2135,90,0.22716627634660422,0.9666666666666667,0.8804381846635368
mnist,blstm,11,0.2,1200,temporalrnn,0.77,89,924,1200,2135,90,0.43278688524590164,0.9888888888888889,0.8658243840808592
mnist,blstm,12,0.1,600,temporalrnn,0.8266666666666667,88,496,600,2142,90,0.2315592903828198,0.9777777777777777,0.8958949096880131
mnist,blstm,12,0.2,1200,temporalrnn,0.77,90,924,1200,2142,90,0.43137254901960786,1.0,0.8700564971751412
mnist,blstm,13,0.1,600,temporalrnn,0.7983333333333333,87,479,600,2148,89,0.22299813780260708,0.9775280898876404,0.8788898145121321
mnist,blstm,13,0.2,1200,temporalrnn,0.7658333333333334,89,919,1200,2148,89,0.4278398510242086,1.0,0.8673902784332232
mnist,blstm,14,0.1,600,temporalrnn,0.8116666666666666,87,487,600,2136,88,0.22799625468164794,0.9886363636363636,0.8914534590136342
mnist,blstm,14,0.2,1200,temporalrnn,0.7641666666666667,88,917,1200,2136,88,0.42930711610486894,1.0,0.8663202645252716
