dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
mnist,gru,0,0.1,600,temporalrnn,0.84,86,504,600,2149,90,0.23452768729641693,0.9555555555555556,0.8940594059405941
mnist,gru,0,0.2,1200,temporalrnn,0.785,90,942,1200,2149,90,0.4383434155421126,1.0,0.8795518207282913
mnist,gru,1,0.1,600,temporalrnn,0.8116666666666666,87,487,600,2130,89,0.22863849765258215,0.9775280898876404,0.8869095590467119
mnist,gru,1,0.2,1200,temporalrnn,0.7591666666666667,89,911,1200,2130,89,0.42769953051643195,1.0,0.8630980577925154
mnist,gru,2,0.1,600,temporalrnn,0.8283333333333334,87,497,600,2114,90,0.23509933774834438,0.9666666666666667,0.8921696069328382
mnist,gru,2,0.2,1200,temporalrnn,0.7675,90,921,1200,2114,90,0.4356669820245979,1.0,0.8684582743988684
mnist,gru,3,0.1,600,temporalrnn,0.81,89,486,600,2101,90,0.23131841980009518,0.9888888888888889,0.8905497220506485
mnist,gru,3,0.2,1200,temporalrnn,0.7608333333333334,90,913,1200,2101,90,0.43455497382198954,1.0,0.8641741599621392
mnist,gru,4,0.1,600,temporalrnn,0.7966666666666666,90,478,600,2144,90,0.22294776119402984,1.0,0.8868274582560297
mnist,gru,4,0.2,1200,temporalrnn,0.7591666666666667,90,911,1200,2144,90,0.42490671641791045,1.0,0.8630980577925154
mnist,gru,5,0.1,600,temporalrnn,0.8,90,480,600,2098,90,0.22878932316491898,1.0,0.888888888888889
mnist,gru,5,0.2,1200,temporalrnn,0.7625,90,915,1200,2098,90,0.4361296472831268,1.0,0.8652482269503545
mnist,gru,6,0.1,600,temporalrnn,0.8016666666666666,86,481,600,2125,89,0.2263529411764706,0.9662921348314607,0.8763147581268735
mnist,gru,6,0.2,1200,temporalrnn,0.7608333333333334,88,913,1200,2125,89,0.42964705882352944,0.9887640449438202,0.8599517277918408
mnist,gru,7,0.1,600,temporalrnn,0.8,89,480,600,2128,90,0.22556390977443608,0.9888888888888889,0.884472049689441
mnist,gru,7,0.2,1200,temporalrnn,0.7566666666666667,90,908,1200,2128,90,0.4266917293233083,1.0,0.8614800759013282
mnist,gru,8,0.1,600,temporalrnn,0.83,90,498,600,2169,90,0.22959889349930843,1.0,0.9071038251366119
mnist,gru,8,0.2,1200,temporalrnn,0.7891666666666667,90,947,1200,2169,90,0.43660673121254034,1.0,0.8821611551001398
mnist,gru,9,0.1,600,temporalrnn,0.81,89,486,600,2106,90,0.23076923076923078,0.9888888888888889,0.8905497220506485
mnist,gru,9,0.2,1200,temporalrnn,0.7525,89,903,1200,2106,90,0.4287749287749288,0.9888888888888889,0.8546498644121869
mnist,gru,10,0.1,600,temporalrnn,0.8033333333333333,89,482,600,2089,90,0.23073240785064625,0.9888888888888889,0.8865054763380864
mnist,gru,10,0.2,1200,temporalrnn,0.7533333333333333,90,904,1200,2089,90,0.43274293920536144,1.0,0.8593155893536121
mnist,gru,11,0.1,600,temporalrnn,0.8033333333333333,88,482,600,2054,89,0.23466407010710807,0.9887640449438202,0.8864553073209471
mnist,gru,11,0.2,1200,temporalrnn,0.7533333333333333,89,904,1200,2054,89,0.44011684518013633,1.0,0.8593155893536121
mnist,gru,12,0.1,600,temporalrnn,0.7966666666666666,87,478,600,2139,89,0.22346891070593736,0.9775280898876404,0.8778788710392433
mnist,gru,12,0.2,1200,temporalrnn,0.7683333333333333,89,922,1200,2139,89,0.4310425432445068,1.0,0.8689915174363808
mnist,gru,13,0.1,600,temporalrnn,0.7916666666666666,86,475,600,2150,90,0.22093023255813954,0.9555555555555556,0.8659247482776895
mnist,gru,13,0.2,1200,temporalrnn,0.7758333333333334,88,931,1200,2150,90,0.4330232558139535,0.9777777777777777,0.8651776756956544
mnist,gru,14,0.1,600,temporalrnn,0.8183333333333334,87,491,600,2106,90,0.2331433998100665,0.9666666666666667,0.8863367569249923
mnist,gru,14,0.2,1200,temporalrnn,0.77,90,924,1200,2106,90,0.43874643874643876,1.0,0.8700564971751412
mnist,gru,15,0.1,600,temporalrnn,0.7916666666666666,89,475,600,2112,90,0.22490530303030304,0.9888888888888889,0.8793551742069683
mnist,gru,15,0.2,1200,temporalrnn,0.7533333333333333,89,904,1200,2112,90,0.42803030303030304,0.9888888888888889,0.8551870748299318
mnist,gru,16,0.1,600,temporalrnn,0.805,88,483,600,2092,90,0.23087954110898662,0.9777777777777777,0.8830165160486132
mnist,gru,16,0.2,1200,temporalrnn,0.7575,90,909,1200,2092,90,0.4345124282982792,1.0,0.8620199146514936
mnist,gru,17,0.1,600,temporalrnn,0.8283333333333334,84,497,600,2121,89,0.23432343234323433,0.9438202247191011,0.8823137806050744
mnist,gru,17,0.2,1200,temporalrnn,0.7816666666666666,88,938,1200,2121,89,0.44224422442244227,0.9887640449438202,0.8731026750298813
mnist,gru,18,0.1,600,temporalrnn,0.8116666666666666,90,487,600,2150,90,0.22651162790697674,1.0,0.8960441582336707
mnist,gru,18,0.2,1200,temporalrnn,0.775,90,930,1200,2150,90,0.4325581395348837,1.0,0.8732394366197184
mnist,gru,19,0.1,600,temporalrnn,0.8016666666666666,87,481,600,2165,90,0.22217090069284065,0.9666666666666667,0.876468740182218
mnist,gru,19,0.2,1200,temporalrnn,0.7758333333333334,88,931,1200,2165,90,0.4300230946882217,0.9777777777777777,0.8651776756956544
mnist,gru,20,0.1,600,temporalrnn,0.79,88,474,600,2122,90,0.2233741753063148,0.9777777777777777,0.8739157762413576
mnist,gru,20,0.2,1200,temporalrnn,0.7616666666666667,90,914,1200,2122,90,0.43072573044297835,1.0,0.8647114474929045
mnist,gru,21,0.1,600,temporalrnn,0.795,89,477,600,2128,90,0.22415413533834586,0.9888888888888889,0.8814076611647463
mnist,gru,21,0.2,1200,temporalrnn,0.765,90,918,1200,2128,90,0.43139097744360905,1.0,0.8668555240793201
mnist,gru,22,0.1,600,temporalrnn,0.8116666666666666,89,487,600,2147,90,0.22682813227759666,0.9888888888888889,0.8915561040831019
mnist,gru,22,0.2,1200,temporalrnn,0.775,89,930,1200,2147,90,0.43316255239869583,0.9888888888888889,0.868976377952756
mnist,gru,23,0.1,600,temporalrnn,0.82,90,492,600,2149,90,0.22894369474174034,1.0,0.9010989010989011
mnist,gru,23,0.2,1200,temporalrnn,0.7741666666666667,90,929,1200,2149,90,0.4322940902745463,1.0,0.8727101925786754
mnist,gru,24,0.1,600,temporalrnn,0.8166666666666667,89,490,600,2132,90,0.2298311444652908,0.9888888888888889,0.8945641025641026
mnist,gru,24,0.2,1200,temporalrnn,0.76,89,912,1200,2132,90,0.4277673545966229,0.9888888888888889,0.8594663278271919
mnist,gru,25,0.1,600,temporalrnn,0.81,89,486,600,2172,90,0.22375690607734808,0.9888888888888889,0.8905497220506485
mnist,gru,25,0.2,1200,temporalrnn,0.79,90,948,1200,2172,90,0.43646408839779005,1.0,0.8826815642458101
mnist,gru,26,0.1,600,temporalrnn,0.8216666666666667,87,493,600,2130,90,0.23145539906103285,0.9666666666666667,0.8882882882882882
mnist,gru,26,0.2,1200,temporalrnn,0.7541666666666667,90,905,1200,2130,90,0.42488262910798125,1.0,0.8598574821852731
mnist,gru,27,0.1,600,temporalrnn,0.81,87,486,600,2109,90,0.23044096728307253,0.9666666666666667,0.8814258911819887
mnist,gru,27,0.2,1200,temporalrnn,0.7666666666666667,90,920,1200,2109,90,0.4362256993835941,1.0,0.8679245283018869
mnist,gru,28,0.1,600,temporalrnn,0.8083333333333333,87,485,600,2104,89,0.2305133079847909,0.9775280898876404,0.8849158496303675
mnist,gru,28,0.2,1200,temporalrnn,0.76,88,912,1200,2104,89,0.43346007604562736,0.9887640449438202,0.8594191724492418
mnist,gru,29,0.1,600,temporalrnn,0.8166666666666667,88,490,600,2126,90,0.23047977422389465,0.9777777777777777,0.8899896800825594
mnist,gru,29,0.2,1200,temporalrnn,0.7708333333333334,90,925,1200,2126,90,0.43508936970837253,1.0,0.8705882352941177

