dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
mnist,lstm,0,0.1,600,temporalrnn,0.7583333333333333,88,455,600,2132,90,0.21341463414634146,0.9777777777777777,0.8541866666666665
mnist,lstm,0,0.2,1200,temporalrnn,0.7116666666666667,90,854,1200,2132,90,0.400562851782364,1.0,0.8315481986368062
mnist,lstm,1,0.1,600,temporalrnn,0.7666666666666667,89,460,600,2136,90,0.2153558052434457,0.9888888888888889,0.8637130801687765
mnist,lstm,1,0.2,1200,temporalrnn,0.73,90,876,1200,2136,90,0.4101123595505618,1.0,0.8439306358381503
mnist,lstm,2,0.1,600,temporalrnn,0.7566666666666667,89,454,600,2104,90,0.21577946768060838,0.9888888888888889,0.8573307871843836
mnist,lstm,2,0.2,1200,temporalrnn,0.7191666666666666,90,863,1200,2104,90,0.41017110266159695,1.0,0.8366456616577799
mnist,lstm,3,0.1,600,temporalrnn,0.7716666666666666,90,463,600,2110,90,0.21943127962085307,1.0,0.8711194731890876
mnist,lstm,3,0.2,1200,temporalrnn,0.7191666666666666,90,863,1200,2110,90,0.4090047393364929,1.0,0.8366456616577799
mnist,lstm,4,0.1,600,temporalrnn,0.7633333333333333,88,458,600,2153,90,0.2127264282396656,0.9777777777777777,0.8573495001063604
mnist,lstm,4,0.2,1200,temporalrnn,0.7258333333333333,89,871,1200,2153,90,0.40455178820250814,0.9888888888888889,0.837183433230736
mnist,lstm,5,0.1,600,temporalrnn,0.7616666666666667,89,457,600,2105,90,0.2171021377672209,0.9888888888888889,0.860531048344441
mnist,lstm,5,0.2,1200,temporalrnn,0.7316666666666667,90,878,1200,2105,90,0.4171021377672209,1.0,0.8450433108758422
mnist,lstm,6,0.1,600,temporalrnn,0.7666666666666667,84,460,600,2094,89,0.21967526265520534,0.9438202247191011,0.846069629954018
mnist,lstm,6,0.2,1200,temporalrnn,0.7025,89,843,1200,2094,89,0.40257879656160456,1.0,0.8252569750367107
mnist,lstm,7,0.1,600,temporalrnn,0.765,88,459,600,2117,89,0.2168162494095418,0.9887640449438202,0.8626069129000226
mnist,lstm,7,0.2,1200,temporalrnn,0.7266666666666667,89,872,1200,2117,89,0.41190363722248463,1.0,0.8416988416988418
mnist,lstm,8,0.1,600,temporalrnn,0.765,86,459,600,2137,89,0.214787084698175,0.9662921348314607,0.8539442515494695
mnist,lstm,8,0.2,1200,temporalrnn,0.7283333333333334,88,874,1200,2137,89,0.4089845577912962,0.9887640449438202,0.8387990359133195
mnist,lstm,9,0.1,600,temporalrnn,0.765,87,459,600,2124,90,0.21610169491525424,0.9666666666666667,0.8540904716073148
mnist,lstm,9,0.2,1200,temporalrnn,0.7208333333333333,90,865,1200,2124,90,0.4072504708097928,1.0,0.8377723970944311
mnist,lstm,10,0.1,600,temporalrnn,0.77,84,462,600,2091,90,0.22094691535150646,0.9333333333333333,0.8438356164383561
mnist,lstm,10,0.2,1200,temporalrnn,0.7291666666666666,90,875,1200,2091,90,0.4184600669536107,1.0,0.8433734939759037
mnist,lstm,11,0.1,600,temporalrnn,0.7666666666666667,89,460,600,2122,90,0.21677662582469368,0.9888888888888889,0.8637130801687765
mnist,lstm,11,0.2,1200,temporalrnn,0.735,90,882,1200,2122,90,0.41564561734213007,1.0,0.8472622478386168
mnist,lstm,12,0.1,600,temporalrnn,0.745,87,447,600,2146,89,0.20829450139794967,0.9775280898876404,0.8455692899774957
mnist,lstm,12,0.2,1200,temporalrnn,0.7275,89,873,1200,2146,89,0.40680335507921717,1.0,0.8422575976845152
mnist,lstm,13,0.1,600,temporalrnn,0.7783333333333333,87,467,600,2125,89,0.21976470588235295,0.9775280898876404,0.8666318270533152
mnist,lstm,13,0.2,1200,temporalrnn,0.7341666666666666,89,881,1200,2125,89,0.41458823529411765,1.0,0.8467083133109082
mnist,lstm,14,0.1,600,temporalrnn,0.7533333333333333,90,452,600,2107,90,0.21452301850972946,1.0,0.8593155893536121
mnist,lstm,14,0.2,1200,temporalrnn,0.7125,90,855,1200,2107,90,0.40579022306597057,1.0,0.832116788321168
mnist,lstm,15,0.1,600,temporalrnn,0.745,86,447,600,2094,90,0.2134670487106017,0.9555555555555556,0.8372427311336165
mnist,lstm,15,0.2,1200,temporalrnn,0.71,90,852,1200,2094,90,0.4068767908309456,1.0,0.8304093567251462
mnist,lstm,16,0.1,600,temporalrnn,0.775,87,465,600,2140,90,0.21728971962616822,0.9666666666666667,0.8602870813397129
mnist,lstm,16,0.2,1200,temporalrnn,0.7341666666666666,90,881,1200,2140,90,0.4116822429906542,1.0,0.8467083133109082
mnist,lstm,17,0.1,600,temporalrnn,0.7583333333333333,89,455,600,2107,90,0.2159468438538206,0.9888888888888889,0.8583995760466349
mnist,lstm,17,0.2,1200,temporalrnn,0.7041666666666667,90,845,1200,2107,90,0.40104413858566684,1.0,0.8264058679706603
mnist,lstm,18,0.1,600,temporalrnn,0.7433333333333333,87,446,600,2111,90,0.21127427759355755,0.9666666666666667,0.8404158544509421
mnist,lstm,18,0.2,1200,temporalrnn,0.7166666666666667,89,860,1200,2111,90,0.4073898626243487,0.9888888888888889,0.8310532030401737
mnist,lstm,19,0.1,600,temporalrnn,0.7633333333333333,88,458,600,2161,90,0.21193891716797778,0.9777777777777777,0.8573495001063604
mnist,lstm,19,0.2,1200,temporalrnn,0.7283333333333334,90,874,1200,2161,90,0.4044423877834336,1.0,0.8428158148505304
mnist,lstm,20,0.1,600,temporalrnn,0.7416666666666667,85,445,600,2117,90,0.21020311761927254,0.9444444444444444,0.8308621636463481
