dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
snips,blstm,0,0.1,200,temporalrnn,0.69,38,138,200,509,41,0.27111984282907664,0.926829268292683,0.7910695429174839
snips,blstm,0,0.2,400,temporalrnn,0.61,41,244,400,509,41,0.4793713163064833,1.0,0.7577639751552795
snips,blstm,1,0.1,200,temporalrnn,0.63,39,126,200,529,42,0.2381852551984877,0.9285714285714286,0.7506874427131073
snips,blstm,1,0.2,400,temporalrnn,0.5725,41,229,400,529,42,0.43289224952741023,0.9761904761904762,0.7217311092320702
snips,blstm,2,0.1,200,temporalrnn,0.62,38,124,200,511,41,0.24266144814090018,0.926829268292683,0.7429832860296437
snips,blstm,2,0.2,400,temporalrnn,0.57,40,228,400,511,41,0.4461839530332681,0.975609756097561,0.7195833990847404
snips,blstm,3,0.1,200,temporalrnn,0.65,35,130,200,508,42,0.2559055118110236,0.8333333333333334,0.7303370786516855
snips,blstm,3,0.2,400,temporalrnn,0.5525,42,221,400,508,42,0.43503937007874016,1.0,0.7117552334943639
snips,blstm,4,0.1,200,temporalrnn,0.615,39,123,200,487,42,0.25256673511293637,0.9285714285714286,0.7399352151781582
snips,blstm,4,0.2,400,temporalrnn,0.55,42,220,400,487,42,0.4517453798767967,1.0,0.7096774193548387
snips,blstm,5,0.1,200,temporalrnn,0.66,37,132,200,519,42,0.2543352601156069,0.8809523809523809,0.7546353522867737
snips,blstm,5,0.2,400,temporalrnn,0.6275,42,251,400,519,42,0.4836223506743738,1.0,0.771121351766513
snips,blstm,6,0.1,200,temporalrnn,0.67,39,134,200,512,42,0.26171875,0.9285714285714286,0.7783735478105451
snips,blstm,6,0.2,400,temporalrnn,0.5725,40,229,400,512,42,0.447265625,0.9523809523809523,0.7151221797173861
snips,blstm,7,0.1,200,temporalrnn,0.625,39,125,200,477,41,0.2620545073375262,0.9512195121951219,0.7543520309477756
snips,blstm,7,0.2,400,temporalrnn,0.5775,40,231,400,477,41,0.48427672955974843,0.975609756097561,0.725530996034706
snips,blstm,8,0.1,200,temporalrnn,0.645,36,129,200,491,42,0.26272912423625255,0.8571428571428571,0.7360912981455063
snips,blstm,8,0.2,400,temporalrnn,0.5525,42,221,400,491,42,0.45010183299389,1.0,0.7117552334943639
snips,blstm,9,0.1,200,temporalrnn,0.65,37,130,200,533,41,0.24390243902439024,0.9024390243902439,0.7556952081696781
snips,blstm,9,0.2,400,temporalrnn,0.58,39,232,400,533,41,0.4352720450281426,0.9512195121951219,0.720611659764256
snips,blstm,10,0.1,200,temporalrnn,0.62,38,124,200,512,41,0.2421875,0.926829268292683,0.7429832860296437
snips,blstm,10,0.2,400,temporalrnn,0.545,41,218,400,512,41,0.42578125,1.0,0.7055016181229774
