dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
snips,gru,0,0.1,200,temporalrnn,0.715,34,143,200,556,42,0.25719424460431656,0.8095238095238095,0.7593315633296891
snips,gru,0,0.2,400,temporalrnn,0.6275,40,251,400,556,42,0.45143884892086333,0.9523809523809523,0.7565368095848088
snips,gru,1,0.1,200,temporalrnn,0.68,38,136,200,539,41,0.2523191094619666,0.926829268292683,0.7844565877352764
snips,gru,1,0.2,400,temporalrnn,0.6,39,240,400,539,41,0.4452690166975881,0.9512195121951219,0.7358490566037735
snips,gru,2,0.1,200,temporalrnn,0.695,38,139,200,564,41,0.24645390070921985,0.926829268292683,0.7943454395067299
snips,gru,2,0.2,400,temporalrnn,0.6125,40,245,400,564,41,0.43439716312056736,0.975609756097561,0.7525436744096755
snips,gru,3,0.1,200,temporalrnn,0.765,36,153,200,545,42,0.28073394495412846,0.8571428571428571,0.808454425363276
snips,gru,3,0.2,400,temporalrnn,0.6425,41,257,400,545,42,0.47155963302752296,0.9761904761904762,0.7749503566963301
snips,gru,4,0.1,200,temporalrnn,0.66,39,132,200,514,42,0.25680933852140075,0.9285714285714286,0.7715827338129497
snips,gru,4,0.2,400,temporalrnn,0.585,40,234,400,514,42,0.45525291828793774,0.9523809523809523,0.7247947963450518
snips,gru,5,0.1,200,temporalrnn,0.755,39,151,200,551,42,0.27404718693284935,0.9285714285714286,0.8328383538396266
snips,gru,5,0.2,400,temporalrnn,0.65,41,260,400,551,42,0.47186932849364793,0.9761904761904762,0.7803806734992679
snips,gru,6,0.1,200,temporalrnn,0.72,38,144,200,552,38,0.2608695652173913,1.0,0.8372093023255813
snips,gru,6,0.2,400,temporalrnn,0.6225,38,249,400,552,38,0.45108695652173914,1.0,0.7673343605546996
snips,gru,7,0.1,200,temporalrnn,0.735,40,147,200,542,41,0.27121771217712176,0.975609756097561,0.8383831182719043
snips,gru,7,0.2,400,temporalrnn,0.6475,40,259,400,542,41,0.477859778597786,0.975609756097561,0.7783913745820655
snips,gru,8,0.1,200,temporalrnn,0.69,38,138,200,529,41,0.2608695652173913,0.926829268292683,0.7910695429174839
snips,gru,8,0.2,400,temporalrnn,0.605,40,242,400,529,41,0.45746691871455575,0.975609756097561,0.746855952472803
snips,gru,9,0.1,200,temporalrnn,0.69,37,138,200,560,41,0.24642857142857144,0.9024390243902439,0.7820493184254863
snips,gru,9,0.2,400,temporalrnn,0.64,40,256,400,560,41,0.45714285714285713,0.975609756097561,0.7729468599033816
snips,gru,10,0.1,200,temporalrnn,0.75,38,150,200,549,40,0.273224043715847,0.95,0.838235294117647
snips,gru,10,0.2,400,temporalrnn,0.655,38,262,400,549,40,0.4772313296903461,0.95,0.7753894080996885
snips,gru,11,0.1,200,temporalrnn,0.725,39,145,200,522,42,0.2777777777777778,0.9285714285714286,0.8142548596112312
snips,gru,11,0.2,400,temporalrnn,0.6,41,240,400,522,42,0.45977011494252873,0.9761904761904762,0.7432024169184289
snips,gru,12,0.1,200,temporalrnn,0.715,36,143,200,569,41,0.2513181019332162,0.8780487804878049,0.7881803567327567
snips,gru,12,0.2,400,temporalrnn,0.645,39,258,400,569,41,0.45342706502636204,0.9512195121951219,0.768737107494843
snips,gru,13,0.1,200,temporalrnn,0.715,37,143,200,528,40,0.2708333333333333,0.925,0.8065548780487805
snips,gru,13,0.2,400,temporalrnn,0.6375,39,255,400,528,40,0.48295454545454547,0.975,0.7709302325581395
snips,gru,14,0.1,200,temporalrnn,0.735,36,147,200,548,41,0.26824817518248173,0.8780487804878049,0.8001814470401452
snips,gru,14,0.2,400,temporalrnn,0.6325,38,253,400,548,41,0.46167883211678834,0.926829268292683,0.7518867555625073
snips,gru,15,0.1,200,temporalrnn,0.72,39,144,200,548,42,0.26277372262773724,0.9285714285714286,0.8110918544194108
snips,gru,15,0.2,400,temporalrnn,0.64,41,256,400,548,42,0.46715328467153283,0.9761904761904762,0.7731290512669416
snips,gru,16,0.1,200,temporalrnn,0.705,37,141,200,534,41,0.2640449438202247,0.9024390243902439,0.7915939610044762
snips,gru,16,0.2,400,temporalrnn,0.6175,39,247,400,534,41,0.46254681647940077,0.9512195121951219,0.7488630621526023
