dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
snips,lstm,0,0.1,200,temporalrnn,0.595,37,119,200,439,40,0.27107061503416857,0.925,0.7241776315789473
snips,lstm,0,0.2,400,temporalrnn,0.5075,40,203,400,439,40,0.4624145785876993,1.0,0.6733001658374793
snips,lstm,1,0.1,200,temporalrnn,0.64,40,128,200,468,41,0.27350427350427353,0.975609756097561,0.7729468599033816
snips,lstm,1,0.2,400,temporalrnn,0.5675,40,227,400,468,41,0.48504273504273504,0.975609756097561,0.7175880191251433
snips,lstm,2,0.1,200,temporalrnn,0.66,39,132,200,441,41,0.29931972789115646,0.9512195121951219,0.779291553133515
snips,lstm,2,0.2,400,temporalrnn,0.55,39,220,400,441,41,0.4988662131519274,0.9512195121951219,0.6969943135662063
snips,lstm,3,0.1,200,temporalrnn,0.605,40,121,200,436,41,0.2775229357798165,0.975609756097561,0.746855952472803
snips,lstm,3,0.2,400,temporalrnn,0.535,41,214,400,436,41,0.4908256880733945,1.0,0.6970684039087948
snips,lstm,4,0.1,200,temporalrnn,0.605,40,121,200,411,41,0.2944038929440389,0.975609756097561,0.746855952472803
snips,lstm,4,0.2,400,temporalrnn,0.505,40,202,400,411,41,0.49148418491484186,0.975609756097561,0.6655135491310437
snips,lstm,5,0.1,200,temporalrnn,0.605,38,121,200,434,40,0.27880184331797236,0.95,0.7392282958199357
snips,lstm,5,0.2,400,temporalrnn,0.525,40,210,400,434,40,0.4838709677419355,1.0,0.6885245901639345
snips,lstm,6,0.1,200,temporalrnn,0.64,37,128,200,460,41,0.2782608695652174,0.9024390243902439,0.7488931056293486
snips,lstm,6,0.2,400,temporalrnn,0.5325,40,213,400,460,41,0.46304347826086956,0.975609756097561,0.6889580722112159
snips,lstm,7,0.1,200,temporalrnn,0.635,39,127,200,436,41,0.29128440366972475,0.9512195121951219,0.7615899131237026
snips,lstm,7,0.2,400,temporalrnn,0.525,41,210,400,436,41,0.481651376146789,1.0,0.6885245901639345
snips,lstm,8,0.1,200,temporalrnn,0.675,40,135,200,453,41,0.2980132450331126,0.975609756097561,0.7979312892500924
snips,lstm,8,0.2,400,temporalrnn,0.545,41,218,400,453,41,0.48123620309050774,1.0,0.7055016181229774
snips,lstm,9,0.1,200,temporalrnn,0.61,38,122,200,469,40,0.2601279317697228,0.95,0.742948717948718
snips,lstm,9,0.2,400,temporalrnn,0.5325,39,213,400,469,40,0.4541577825159915,0.975,0.6888059701492537
snips,lstm,10,0.1,200,temporalrnn,0.56,40,112,200,431,41,0.25986078886310904,0.975609756097561,0.7115628970775095
snips,lstm,10,0.2,400,temporalrnn,0.505,40,202,400,431,41,0.46867749419953597,0.975609756097561,0.6655135491310437
snips,lstm,11,0.1,200,temporalrnn,0.6,36,120,200,419,40,0.2863961813842482,0.9,0.7200000000000001
snips,lstm,11,0.2,400,temporalrnn,0.5025,38,201,400,419,40,0.4797136038186158,0.95,0.657314974182444
snips,lstm,12,0.1,200,temporalrnn,0.59,37,118,200,441,41,0.2675736961451247,0.9024390243902439,0.7135152802745547
snips,lstm,12,0.2,400,temporalrnn,0.515,38,206,400,441,41,0.4671201814058957,0.926829268292683,0.6620992979785165
snips,lstm,13,0.1,200,temporalrnn,0.625,39,125,200,421,41,0.29691211401425177,0.9512195121951219,0.7543520309477756
snips,lstm,13,0.2,400,temporalrnn,0.5175,40,207,400,421,41,0.4916864608076009,0.975609756097561,0.6762772083146159
snips,lstm,14,0.1,200,temporalrnn,0.63,39,126,200,441,41,0.2857142857142857,0.9512195121951219,0.7579824155483573
snips,lstm,14,0.2,400,temporalrnn,0.5125,41,205,400,441,41,0.46485260770975056,1.0,0.6776859504132231
snips,lstm,15,0.1,200,temporalrnn,0.605,40,121,200,452,41,0.2676991150442478,0.975609756097561,0.746855952472803
snips,lstm,15,0.2,400,temporalrnn,0.52,41,208,400,452,41,0.46017699115044247,1.0,0.6842105263157895
snips,lstm,16,0.1,200,temporalrnn,0.645,39,129,200,429,41,0.3006993006993007,0.9512195121951219,0.768737107494843
snips,lstm,16,0.2,400,temporalrnn,0.5275,41,211,400,429,41,0.49184149184149184,1.0,0.690671031096563
snips,lstm,17,0.1,200,temporalrnn,0.6,35,120,200,408,40,0.29411764705882354,0.875,0.711864406779661
snips,lstm,17,0.2,400,temporalrnn,0.4875,38,195,400,408,40,0.47794117647058826,0.95,0.6443478260869565
snips,lstm,18,0.1,200,temporalrnn,0.625,38,125,200,440,41,0.2840909090909091,0.926829268292683,0.7465618860510806
snips,lstm,18,0.2,400,temporalrnn,0.5325,40,213,400,440,41,0.48409090909090907,0.975609756097561,0.6889580722112159
snips,lstm,19,0.1,200,temporalrnn,0.52,35,104,200,413,40,0.25181598062953997,0.875,0.6523297491039427
snips,lstm,19,0.2,400,temporalrnn,0.465,40,186,400,413,40,0.45036319612590797,1.0,0.6348122866894198
snips,lstm,20,0.1,200,temporalrnn,0.585,37,117,200,430,41,0.27209302325581397,0.9024390243902439,0.709846683610724
snips,lstm,20,0.2,400,temporalrnn,0.5025,40,201,400,430,41,0.46744186046511627,0.975609756097561,0.6633389711645559
snips,lstm,21,0.1,200,temporalrnn,0.585,37,117,200,425,41,0.2752941176470588,0.9024390243902439,0.709846683610724
snips,lstm,21,0.2,400,temporalrnn,0.5,41,200,400,425,41,0.47058823529411764,1.0,0.6666666666666666
snips,lstm,22,0.1,200,temporalrnn,0.61,41,122,200,434,41,0.28110599078341014,1.0,0.7577639751552795
snips,lstm,22,0.2,400,temporalrnn,0.5225,41,209,400,434,41,0.4815668202764977,1.0,0.6863711001642036
snips,lstm,23,0.1,200,temporalrnn,0.595,37,119,200,445,41,0.26741573033707866,0.9024390243902439,0.717159377799495
snips,lstm,23,0.2,400,temporalrnn,0.52,39,208,400,445,41,0.46741573033707867,0.9512195121951219,0.6724137931034483
snips,lstm,24,0.1,200,temporalrnn,0.625,37,125,200,411,41,0.30413625304136255,0.9024390243902439,0.7385229540918165
snips,lstm,24,0.2,400,temporalrnn,0.5,40,200,400,411,41,0.48661800486618007,0.975609756097561,0.6611570247933884
snips,lstm,25,0.1,200,temporalrnn,0.565,36,113,200,429,39,0.2634032634032634,0.9230769230769231,0.7009563194623933
snips,lstm,25,0.2,400,temporalrnn,0.4975,39,199,400,429,39,0.46386946386946387,1.0,0.664440734557596
snips,lstm,26,0.1,200,temporalrnn,0.625,39,125,200,417,41,0.2997601918465228,0.9512195121951219,0.7543520309477756
snips,lstm,26,0.2,400,temporalrnn,0.53,40,212,400,417,41,0.5083932853717026,0.975609756097561,0.6868621415843188
snips,lstm,27,0.1,200,temporalrnn,0.62,39,124,200,443,41,0.2799097065462754,0.9512195121951219,0.7506985408258304
snips,lstm,27,0.2,400,temporalrnn,0.555,41,222,400,443,41,0.5011286681715575,1.0,0.7138263665594855
snips,lstm,28,0.1,200,temporalrnn,0.585,36,117,200,454,41,0.2577092511013216,0.8780487804878049,0.7021755438859716
snips,lstm,28,0.2,400,temporalrnn,0.5225,40,209,400,454,41,0.460352422907489,0.975609756097561,0.680532378200171
snips,lstm,29,0.1,200,temporalrnn,0.64,38,128,200,435,41,0.2942528735632184,0.926829268292683,0.7571606475716065
snips,lstm,29,0.2,400,temporalrnn,0.5325,41,213,400,435,41,0.4896551724137931,1.0,0.6949429037520392

