dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
svhn,blstm,0,0.1,700,temporalrnn,0.85,44,595,700,5990,45,0.0993322203672788,0.9777777777777777,0.9094224924012158
svhn,blstm,0,0.2,1400,temporalrnn,0.8342857142857143,45,1168,1400,5990,45,0.194991652754591,1.0,0.9096573208722741
svhn,blstm,1,0.1,700,temporalrnn,0.8542857142857143,45,598,700,5934,45,0.10077519379844961,1.0,0.9214175654853621
svhn,blstm,1,0.2,1400,temporalrnn,0.8571428571428571,45,1200,1400,5934,45,0.20222446916076844,1.0,0.923076923076923
svhn,blstm,2,0.1,700,temporalrnn,0.8457142857142858,45,592,700,5962,45,0.09929553840992955,1.0,0.9164086687306502
svhn,blstm,2,0.2,1400,temporalrnn,0.8471428571428572,45,1186,1400,5962,45,0.19892653471989266,1.0,0.917246713070379
svhn,blstm,3,0.1,700,temporalrnn,0.8528571428571429,45,597,700,5960,45,0.10016778523489933,1.0,0.920585967617579
svhn,blstm,3,0.2,1400,temporalrnn,0.8421428571428572,45,1179,1400,5960,45,0.19781879194630872,1.0,0.9143078712679334
svhn,blstm,4,0.1,700,temporalrnn,0.83,44,581,700,5932,45,0.09794335805799056,0.9777777777777777,0.8978488014751075
svhn,blstm,4,0.2,1400,temporalrnn,0.825,45,1155,1400,5932,45,0.19470667565745112,1.0,0.9041095890410958
svhn,blstm,5,0.1,700,temporalrnn,0.8457142857142858,45,592,700,5953,45,0.09944565765160424,1.0,0.9164086687306502
svhn,blstm,5,0.2,1400,temporalrnn,0.8485714285714285,45,1188,1400,5953,45,0.19956324542247605,1.0,0.9180834621329211
svhn,blstm,6,0.1,700,temporalrnn,0.8185714285714286,45,573,700,5890,45,0.09728353140916808,1.0,0.9002356637863316
svhn,blstm,6,0.2,1400,temporalrnn,0.8321428571428572,45,1165,1400,5890,45,0.19779286926994907,1.0,0.9083820662768031
svhn,blstm,7,0.1,700,temporalrnn,0.8471428571428572,44,593,700,5974,45,0.09926347505858721,0.9777777777777777,0.9077846394711665
svhn,blstm,7,0.2,1400,temporalrnn,0.8521428571428571,45,1193,1400,5974,45,0.19969869434214932,1.0,0.9201696876205168
svhn,blstm,8,0.1,700,temporalrnn,0.8414285714285714,45,589,700,5916,45,0.0995605138607167,1.0,0.9138867339022498
svhn,blstm,8,0.2,1400,temporalrnn,0.8328571428571429,45,1166,1400,5916,45,0.19709263015551048,1.0,0.9088074824629775
svhn,blstm,9,0.1,700,temporalrnn,0.8328571428571429,45,583,700,5914,45,0.09857964152857626,1.0,0.9088074824629775
svhn,blstm,9,0.2,1400,temporalrnn,0.8435714285714285,45,1181,1400,5914,45,0.1996956374704092,1.0,0.915149166989539
svhn,blstm,10,0.1,700,temporalrnn,0.8728571428571429,45,611,700,5973,45,0.10229365477984262,1.0,0.9321128909229597
svhn,blstm,10,0.2,1400,temporalrnn,0.8471428571428572,45,1186,1400,5973,45,0.19856018751046375,1.0,0.917246713070379
svhn,blstm,11,0.1,700,temporalrnn,0.8314285714285714,45,582,700,5913,45,0.09842719431760527,1.0,0.90795631825273
svhn,blstm,11,0.2,1400,temporalrnn,0.8314285714285714,45,1164,1400,5913,45,0.19685438863521054,1.0,0.90795631825273
svhn,blstm,12,0.1,700,temporalrnn,0.8528571428571429,45,597,700,5936,45,0.10057277628032345,1.0,0.920585967617579
svhn,blstm,12,0.2,1400,temporalrnn,0.8414285714285714,45,1178,1400,5936,45,0.1984501347708895,1.0,0.9138867339022498
svhn,blstm,13,0.1,700,temporalrnn,0.86,45,602,700,6022,45,0.09996678844237794,1.0,0.924731182795699
svhn,blstm,13,0.2,1400,temporalrnn,0.85,45,1190,1400,6022,45,0.19760876785121223,1.0,0.9189189189189189
svhn,blstm,14,0.1,700,temporalrnn,0.8457142857142858,44,592,700,5956,45,0.09939556749496306,0.9777777777777777,0.9069637883008357
svhn,blstm,14,0.2,1400,temporalrnn,0.8321428571428572,45,1165,1400,5956,45,0.19560107454667564,1.0,0.9083820662768031
svhn,blstm,15,0.1,700,temporalrnn,0.8528571428571429,45,597,700,5936,45,0.10057277628032345,1.0,0.920585967617579
svhn,blstm,15,0.2,1400,temporalrnn,0.8442857142857143,45,1182,1400,5936,45,0.19912398921832883,1.0,0.9155693261037955
svhn,blstm,16,0.1,700,temporalrnn,0.8271428571428572,45,579,700,5936,45,0.09754043126684636,1.0,0.9053948397185301
svhn,blstm,16,0.2,1400,temporalrnn,0.825,45,1155,1400,5936,45,0.1945754716981132,1.0,0.9041095890410958
svhn,blstm,17,0.1,700,temporalrnn,0.8528571428571429,45,597,700,5989,45,0.09968275171147103,1.0,0.920585967617579
svhn,blstm,17,0.2,1400,temporalrnn,0.8492857142857143,45,1189,1400,5989,45,0.19853063950576055,1.0,0.9185013518733103
svhn,blstm,18,0.1,700,temporalrnn,0.8528571428571429,44,597,700,5910,45,0.10101522842639594,0.9777777777777777,0.9110552328101968
svhn,blstm,18,0.2,1400,temporalrnn,0.8428571428571429,45,1180,1400,5910,45,0.1996615905245347,1.0,0.9147286821705426
svhn,blstm,19,0.1,700,temporalrnn,0.8414285714285714,45,589,700,5987,45,0.0983798229497244,1.0,0.9138867339022498
svhn,blstm,19,0.2,1400,temporalrnn,0.8428571428571429,45,1180,1400,5987,45,0.19709370302321697,1.0,0.9147286821705426
svhn,blstm,20,0.1,700,temporalrnn,0.8657142857142858,45,606,700,5973,45,0.10145655449522853,1.0,0.9280245022970904
svhn,blstm,20,0.2,1400,temporalrnn,0.8485714285714285,45,1188,1400,5973,45,0.19889502762430938,1.0,0.9180834621329211
svhn,blstm,21,0.1,700,temporalrnn,0.8457142857142858,45,592,700,5938,45,0.0996968676321994,1.0,0.9164086687306502
svhn,blstm,21,0.2,1400,temporalrnn,0.8414285714285714,45,1178,1400,5938,45,0.19838329403839677,1.0,0.9138867339022498
svhn,blstm,22,0.1,700,temporalrnn,0.8528571428571429,45,597,700,5935,45,0.10058972198820557,1.0,0.920585967617579
svhn,blstm,22,0.2,1400,temporalrnn,0.84,45,1176,1400,5935,45,0.19814658803706825,1.0,0.9130434782608696
svhn,blstm,23,0.1,700,temporalrnn,0.8242857142857143,45,577,700,5980,45,0.09648829431438127,1.0,0.9036805011746281
svhn,blstm,23,0.2,1400,temporalrnn,0.8392857142857143,45,1175,1400,5980,45,0.19648829431438128,1.0,0.9126213592233009
svhn,blstm,24,0.1,700,temporalrnn,0.8228571428571428,45,576,700,5931,45,0.09711684370257967,1.0,0.90282131661442
svhn,blstm,24,0.2,1400,temporalrnn,0.8364285714285714,45,1171,1400,5931,45,0.19743719440229304,1.0,0.9109295993776741
svhn,blstm,25,0.1,700,temporalrnn,0.8471428571428572,45,593,700,5907,45,0.10038936854579313,1.0,0.917246713070379
svhn,blstm,25,0.2,1400,temporalrnn,0.8342857142857143,45,1168,1400,5907,45,0.19773150499407482,1.0,0.9096573208722741
svhn,blstm,26,0.1,700,temporalrnn,0.8728571428571429,45,611,700,5942,45,0.10282733086502861,1.0,0.9321128909229597
svhn,blstm,26,0.2,1400,temporalrnn,0.8521428571428571,45,1193,1400,5942,45,0.20077415011780544,1.0,0.9201696876205168
svhn,blstm,27,0.1,700,temporalrnn,0.8285714285714286,44,580,700,5913,45,0.09808895653644512,0.9777777777777777,0.8970123022847101
