dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
svhn,gru,0,0.1,700,temporalrnn,0.8185714285714286,87,573,700,3969,90,0.14436885865457294,0.9666666666666667,0.8864763937049881
svhn,gru,0,0.2,1400,temporalrnn,0.8042857142857143,90,1126,1400,3969,90,0.2836986646510456,1.0,0.8915281076801267
svhn,gru,1,0.1,700,temporalrnn,0.82,89,574,700,4016,90,0.14292828685258965,0.9888888888888889,0.8965601965601966
svhn,gru,1,0.2,1400,temporalrnn,0.8085714285714286,90,1132,1400,4016,90,0.2818725099601594,1.0,0.8941548183254344
svhn,gru,2,0.1,700,temporalrnn,0.8485714285714285,88,594,700,4043,90,0.1469206035122434,0.9777777777777777,0.908604206500956
svhn,gru,2,0.2,1400,temporalrnn,0.8257142857142857,90,1156,1400,4043,90,0.28592629235716055,1.0,0.9045383411580595
svhn,gru,3,0.1,700,temporalrnn,0.8314285714285714,89,582,700,4018,90,0.1448481831757093,0.9888888888888889,0.9033484478549006
svhn,gru,3,0.2,1400,temporalrnn,0.815,90,1141,1400,4018,90,0.28397212543554007,1.0,0.8980716253443526
svhn,gru,4,0.1,700,temporalrnn,0.8414285714285714,90,589,700,3982,90,0.1479156202913109,1.0,0.9138867339022498
svhn,gru,4,0.2,1400,temporalrnn,0.8128571428571428,90,1138,1400,3982,90,0.28578603716725265,1.0,0.896769109535067
svhn,gru,5,0.1,700,temporalrnn,0.8085714285714286,89,566,700,4024,90,0.14065606361829025,0.9888888888888889,0.8896856234546097
svhn,gru,5,0.2,1400,temporalrnn,0.7964285714285714,90,1115,1400,4024,90,0.27708747514910537,1.0,0.8866799204771372
svhn,gru,6,0.1,700,temporalrnn,0.84,89,588,700,3994,90,0.1472208312468703,0.9888888888888889,0.9083839611178616
svhn,gru,6,0.2,1400,temporalrnn,0.8057142857142857,90,1128,1400,3994,90,0.2824236354531798,1.0,0.8924050632911393
svhn,gru,7,0.1,700,temporalrnn,0.8628571428571429,89,604,700,3985,90,0.15156838143036386,0.9888888888888889,0.9215840905194582
svhn,gru,7,0.2,1400,temporalrnn,0.8185714285714286,90,1146,1400,3985,90,0.2875784190715182,1.0,0.9002356637863316
svhn,gru,8,0.1,700,temporalrnn,0.8357142857142857,90,585,700,4042,90,0.14473033151905,1.0,0.9105058365758755
svhn,gru,8,0.2,1400,temporalrnn,0.8142857142857143,90,1140,1400,4042,90,0.28203859475507176,1.0,0.8976377952755905
