dataset,model,file_index,budget_ratio,budget_size,strategy,precision,diversity,selected_failed,selected_count,total_failed,total_diversity,recall_optional,diversity_recall_optional,combined_f1_optional
svhn,lstm,0,0.1,700,temporalrnn,0.8542857142857143,89,598,700,3892,90,0.15364850976361769,0.9888888888888889,0.9166724078539442
svhn,lstm,0,0.2,1400,temporalrnn,0.8392857142857143,90,1175,1400,3892,90,0.30190133607399794,1.0,0.9126213592233009
svhn,lstm,1,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3893,90,0.15335217056254816,1.0,0.920585967617579
svhn,lstm,1,0.2,1400,temporalrnn,0.8307142857142857,90,1163,1400,3893,90,0.2987413305933727,1.0,0.907530238002341
svhn,lstm,2,0.1,700,temporalrnn,0.8671428571428571,89,607,700,3889,90,0.15608125482129082,0.9888888888888889,0.9240229196955444
svhn,lstm,2,0.2,1400,temporalrnn,0.8385714285714285,90,1174,1400,3889,90,0.30187708922602213,1.0,0.9121989121989121
svhn,lstm,3,0.1,700,temporalrnn,0.8142857142857143,89,570,700,3869,90,0.1473248901524942,0.9888888888888889,0.8931338028169015
svhn,lstm,3,0.2,1400,temporalrnn,0.8178571428571428,90,1145,1400,3869,90,0.2959421039028173,1.0,0.899803536345776
svhn,lstm,4,0.1,700,temporalrnn,0.8471428571428572,89,593,700,3862,90,0.15354738477472812,0.9888888888888889,0.9125443070804876
svhn,lstm,4,0.2,1400,temporalrnn,0.815,90,1141,1400,3862,90,0.2954427757638529,1.0,0.8980716253443526
svhn,lstm,5,0.1,700,temporalrnn,0.8342857142857143,90,584,700,3869,90,0.1509433962264151,1.0,0.9096573208722741
svhn,lstm,5,0.2,1400,temporalrnn,0.8192857142857143,90,1147,1400,3869,90,0.29645903334194884,1.0,0.9006674519042009
svhn,lstm,6,0.1,700,temporalrnn,0.85,89,595,700,3873,90,0.1536276788019623,0.9888888888888889,0.9141993957703928
svhn,lstm,6,0.2,1400,temporalrnn,0.8307142857142857,90,1163,1400,3873,90,0.300284017557449,1.0,0.907530238002341
svhn,lstm,7,0.1,700,temporalrnn,0.8385714285714285,90,587,700,3936,90,0.14913617886178862,1.0,0.9121989121989121
svhn,lstm,7,0.2,1400,temporalrnn,0.8307142857142857,90,1163,1400,3936,90,0.29547764227642276,1.0,0.907530238002341
svhn,lstm,8,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3950,90,0.15113924050632913,1.0,0.920585967617579
svhn,lstm,8,0.2,1400,temporalrnn,0.8264285714285714,90,1157,1400,3950,90,0.2929113924050633,1.0,0.9049667579194368
svhn,lstm,9,0.1,700,temporalrnn,0.8614285714285714,90,603,700,3914,90,0.15406234031681146,1.0,0.9255564082885649
svhn,lstm,9,0.2,1400,temporalrnn,0.8385714285714285,90,1174,1400,3914,90,0.29994890137966274,1.0,0.9121989121989121
svhn,lstm,10,0.1,700,temporalrnn,0.8571428571428571,90,600,700,3927,90,0.15278838808250572,1.0,0.923076923076923
svhn,lstm,10,0.2,1400,temporalrnn,0.8314285714285714,90,1164,1400,3927,90,0.29640947288006114,1.0,0.90795631825273
svhn,lstm,11,0.1,700,temporalrnn,0.8614285714285714,90,603,700,3888,90,0.1550925925925926,1.0,0.9255564082885649
svhn,lstm,11,0.2,1400,temporalrnn,0.8257142857142857,90,1156,1400,3888,90,0.29732510288065844,1.0,0.9045383411580595
svhn,lstm,12,0.1,700,temporalrnn,0.8542857142857143,90,598,700,3901,90,0.15329402717251986,1.0,0.9214175654853621
svhn,lstm,12,0.2,1400,temporalrnn,0.8271428571428572,90,1158,1400,3901,90,0.2968469623173545,1.0,0.9053948397185301
svhn,lstm,13,0.1,700,temporalrnn,0.87,90,609,700,3917,90,0.15547612969109012,1.0,0.9304812834224598
svhn,lstm,13,0.2,1400,temporalrnn,0.8421428571428572,90,1179,1400,3917,90,0.3009956599438346,1.0,0.9143078712679334
svhn,lstm,14,0.1,700,temporalrnn,0.8514285714285714,89,596,700,3917,90,0.15215726321164155,0.9888888888888889,0.9150250129377264
svhn,lstm,14,0.2,1400,temporalrnn,0.8342857142857143,90,1168,1400,3917,90,0.2981873883073781,1.0,0.9096573208722741
svhn,lstm,15,0.1,700,temporalrnn,0.8357142857142857,88,585,700,3875,90,0.15096774193548387,0.9777777777777777,0.9011816192560176
svhn,lstm,15,0.2,1400,temporalrnn,0.825,90,1155,1400,3875,90,0.29806451612903223,1.0,0.9041095890410958
svhn,lstm,16,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3870,90,0.15426356589147286,1.0,0.920585967617579
svhn,lstm,16,0.2,1400,temporalrnn,0.825,90,1155,1400,3870,90,0.29844961240310075,1.0,0.9041095890410958
svhn,lstm,17,0.1,700,temporalrnn,0.85,90,595,700,3912,90,0.1520961145194274,1.0,0.9189189189189189
svhn,lstm,17,0.2,1400,temporalrnn,0.8285714285714286,90,1160,1400,3912,90,0.2965235173824131,1.0,0.90625
svhn,lstm,18,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3922,90,0.15221825599184088,1.0,0.920585967617579
svhn,lstm,18,0.2,1400,temporalrnn,0.8285714285714286,90,1160,1400,3922,90,0.29576746557878636,1.0,0.90625
svhn,lstm,19,0.1,700,temporalrnn,0.84,90,588,700,3910,90,0.15038363171355498,1.0,0.9130434782608696
svhn,lstm,19,0.2,1400,temporalrnn,0.8285714285714286,90,1160,1400,3910,90,0.2966751918158568,1.0,0.90625
svhn,lstm,20,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3928,90,0.1519857433808554,1.0,0.920585967617579
svhn,lstm,20,0.2,1400,temporalrnn,0.825,90,1155,1400,3928,90,0.29404276985743383,1.0,0.9041095890410958
svhn,lstm,21,0.1,700,temporalrnn,0.8471428571428572,90,593,700,3870,90,0.15322997416020673,1.0,0.917246713070379
svhn,lstm,21,0.2,1400,temporalrnn,0.8242857142857143,90,1154,1400,3870,90,0.29819121447028424,1.0,0.9036805011746281
svhn,lstm,22,0.1,700,temporalrnn,0.8485714285714285,89,594,700,3887,90,0.15281708258296886,0.9888888888888889,0.9133724948168626
svhn,lstm,22,0.2,1400,temporalrnn,0.8135714285714286,90,1139,1400,3887,90,0.2930280421919218,1.0,0.8972036234738087
svhn,lstm,23,0.1,700,temporalrnn,0.8514285714285714,89,596,700,3912,90,0.1523517382413088,0.9888888888888889,0.9150250129377264
svhn,lstm,23,0.2,1400,temporalrnn,0.8292857142857143,90,1161,1400,3912,90,0.2967791411042945,1.0,0.9066770792659118
svhn,lstm,24,0.1,700,temporalrnn,0.8614285714285714,90,603,700,3899,90,0.15465503975378303,1.0,0.9255564082885649
svhn,lstm,24,0.2,1400,temporalrnn,0.8292857142857143,90,1161,1400,3899,90,0.29776865863041807,1.0,0.9066770792659118
svhn,lstm,25,0.1,700,temporalrnn,0.8485714285714285,89,594,700,3915,90,0.15172413793103448,0.9888888888888889,0.9133724948168626
svhn,lstm,25,0.2,1400,temporalrnn,0.8342857142857143,90,1168,1400,3915,90,0.29833971902937423,1.0,0.9096573208722741
svhn,lstm,26,0.1,700,temporalrnn,0.8742857142857143,90,612,700,3928,90,0.15580448065173116,1.0,0.9329268292682927
svhn,lstm,26,0.2,1400,temporalrnn,0.8357142857142857,90,1170,1400,3928,90,0.29786150712830956,1.0,0.9105058365758755
svhn,lstm,27,0.1,700,temporalrnn,0.8571428571428571,89,600,700,3817,90,0.15719151165837045,0.9888888888888889,0.9183147033533964
svhn,lstm,27,0.2,1400,temporalrnn,0.8242857142857143,90,1154,1400,3817,90,0.30233167408959916,1.0,0.9036805011746281
svhn,lstm,28,0.1,700,temporalrnn,0.8428571428571429,90,590,700,3857,90,0.15296862846772102,1.0,0.9147286821705426
svhn,lstm,28,0.2,1400,temporalrnn,0.8178571428571428,90,1145,1400,3857,90,0.2968628467721027,1.0,0.899803536345776
svhn,lstm,29,0.1,700,temporalrnn,0.8528571428571429,90,597,700,3943,90,0.1514075576971849,1.0,0.920585967617579
svhn,lstm,29,0.2,1400,temporalrnn,0.8307142857142857,90,1163,1400,3943,90,0.29495308141009385,1.0,0.907530238002341

