dataset,model,budget_ratio,avg_diversity_temporalrnn,avg_precision_temporalrnn
agnews,blstm,0.1,12.0,0.5432748538011697
agnews,blstm,0.2,12.0,0.4976973684210526
agnews,gru,0.1,12.0,0.5540204678362574
agnews,gru,0.2,12.0,0.5002558479532164
agnews,lstm,0.1,12.0,0.5659356725146198
agnews,lstm,0.2,12.0,0.5120979532163743
fashion,blstm,0.1,74.6,0.7699444444444444
fashion,blstm,0.2,79.0,0.7190277777777777
fashion,gru,0.1,76.63333333333334,0.7506111111111111
fashion,gru,0.2,80.16666666666667,0.7045277777777778
fashion,lstm,0.1,76.66666666666667,0.773
fashion,lstm,0.2,81.1,0.7351111111111112
mnist,blstm,0.1,87.23333333333333,0.8110555555555555
mnist,blstm,0.2,89.06666666666666,0.7711111111111111
mnist,gru,0.1,88.03333333333333,0.8093333333333333
mnist,gru,0.2,89.43333333333334,0.7665000000000001
mnist,lstm,0.1,87.53333333333333,0.7607777777777778
mnist,lstm,0.2,89.56666666666666,0.7237222222222222
snips,blstm,0.1,37.2,0.6391666666666667
snips,blstm,0.2,40.2,0.5646666666666668
snips,gru,0.1,37.63333333333333,0.7108333333333333
snips,gru,0.2,39.666666666666664,0.6229166666666667
snips,lstm,0.1,38.1,0.6101666666666666
snips,lstm,0.2,40.0,0.5197499999999999
svhn,blstm,0.1,44.8,0.8452857142857143
svhn,blstm,0.2,45.0,0.8406904761904762
svhn,gru,0.1,89.16666666666667,0.8343809523809523
svhn,gru,0.2,89.96666666666667,0.808142857142857
svhn,lstm,0.1,89.6,0.8511904761904762
svhn,lstm,0.2,90.0,0.8282619047619048

