dataset,model,budget_ratio,strategy,avg_precision,std_precision,avg_diversity,std_diversity,avg_selected_failed,avg_selected_count,avg_total_failed,avg_total_diversity,avg_recall_optional,avg_diversity_recall_optional,avg_combined_f1_optional
agnews,blstm,0.1,temporalrnn,0.5432748538011697,0.016139661346978213,12.0,0.0,247.73333333333332,456.0,933.2,12.0,0.2656259681387513,1.0,0.7039148051316313
agnews,blstm,0.2,temporalrnn,0.4976973684210526,0.012618251664875011,12.0,0.0,453.9,912.0,933.2,12.0,0.4866181588165547,1.0,0.6645235970866138
agnews,gru,0.1,temporalrnn,0.5540204678362574,0.0250232905405771,12.0,0.0,252.63333333333333,456.0,930.1333333333333,12.0,0.27176533187579804,1.0,0.7126903012371335
agnews,gru,0.2,temporalrnn,0.5002558479532164,0.017746385599095037,12.0,0.0,456.23333333333335,912.0,930.1333333333333,12.0,0.49067920173405816,1.0,0.6667103448641357
agnews,lstm,0.1,temporalrnn,0.5659356725146198,0.0242521021587994,12.0,0.0,258.06666666666666,456.0,1030.8666666666666,12.0,0.25040401210553753,1.0,0.7225095871021485
agnews,lstm,0.2,temporalrnn,0.5120979532163743,0.01638712660076535,12.0,0.0,467.03333333333336,912.0,1030.8666666666666,12.0,0.45317449660693127,1.0,0.6771819640294656
fashion,blstm,0.1,temporalrnn,0.7699444444444444,0.012339236130072935,74.6,2.1565823558647415,461.96666666666664,600.0,2341.8333333333335,82.03333333333333,0.19727599236977245,0.9094676876793651,0.8337391391693392
fashion,blstm,0.2,temporalrnn,0.7190277777777777,0.009134080068996686,79.0,2.2995946584605593,862.8333333333334,1200.0,2341.8333333333335,82.03333333333333,0.36845543165903477,0.9630016600211367,0.8232267213003045
fashion,gru,0.1,temporalrnn,0.7506111111111111,0.01710983315109341,76.63333333333334,2.107023498349952,450.3666666666667,600.0,2284.5,82.83333333333333,0.1971476164007288,0.9253012079232968,0.8286530238144507
fashion,gru,0.2,temporalrnn,0.7045277777777778,0.013760261251333833,80.16666666666667,2.0350044073301436,845.4333333333333,1200.0,2284.5,82.83333333333333,0.3700735611146687,0.9678380734211295,0.8153373420907433
fashion,lstm,0.1,temporalrnn,0.773,0.017921149747888734,76.66666666666667,2.1991266885039598,463.8,600.0,2296.9333333333334,82.86666666666666,0.2019284314254574,0.9252825888534414,0.842080136572941
fashion,lstm,0.2,temporalrnn,0.7351111111111112,0.01170842674095345,81.1,1.7143462459046783,882.1333333333333,1200.0,2296.9333333333334,82.86666666666666,0.3840624354531229,0.9787540038915991,0.8394880958672181
mnist,blstm,0.1,temporalrnn,0.8110555555555555,0.01457161891625473,87.23333333333333,0.8510545137126851,486.6333333333333,600.0,2153.5666666666666,89.26666666666667,0.2259721892616984,0.9772526765785192,0.8863253471972907
mnist,blstm,0.2,temporalrnn,0.7711111111111111,0.011701588841636289,89.06666666666666,0.8206377566768516,925.3333333333334,1200.0,2153.5666666666666,89.26666666666667,0.42967468317401053,0.9977611319184353,0.8698615053562281
mnist,gru,0.1,temporalrnn,0.8093333333333333,0.012309566350152781,88.03333333333333,1.4840013096374436,485.6,600.0,2125.366666666667,89.8,0.2285037821649833,0.9803079483978361,0.8865285500560951
mnist,gru,0.2,temporalrnn,0.7665000000000001,0.010727755858645925,89.43333333333334,0.7672682483797647,919.8,1200.0,2125.366666666667,89.8,0.43278414979016067,0.995913441531419,0.8662215306359479
mnist,lstm,0.1,temporalrnn,0.7607777777777778,0.012125624090047183,87.53333333333333,1.5780986915354773,456.46666666666664,600.0,2124.0333333333333,89.7,0.21491393248487062,0.9758343736995422,0.8549039620213382
mnist,lstm,0.2,temporalrnn,0.7237222222222222,0.010348752240928875,89.56666666666666,0.6207340287621397,868.4666666666667,1200.0,2124.0333333333333,89.7,0.40888513083128525,0.9985101955888473,0.8391476780719568
snips,blstm,0.1,temporalrnn,0.6391666666666667,0.027864178246963103,37.2,1.6343764684667872,127.83333333333333,200.0,499.4,41.333333333333336,0.2562412236757023,0.9000394591858006,0.7469102913627234
snips,blstm,0.2,temporalrnn,0.5646666666666668,0.026383203867758064,40.2,1.411814555450911,225.86666666666667,400.0,499.4,41.333333333333336,0.45261545036679607,0.9725087108013938,0.7141817095806894
snips,gru,0.1,temporalrnn,0.7108333333333333,0.02642813515334776,37.63333333333333,1.6770299277386416,142.16666666666666,200.0,535.4666666666667,41.0,0.2658037170632424,0.9182326751838947,0.800680858548928
snips,gru,0.2,temporalrnn,0.6229166666666667,0.019464040435030357,39.666666666666664,1.084039317985216,249.16666666666666,400.0,535.4666666666667,41.0,0.46576414013729495,0.9675087108013937,0.7576632906388189
snips,lstm,0.1,temporalrnn,0.6101666666666666,0.03098614598393698,38.1,1.6124515496597092,122.03333333333333,200.0,435.5,40.733333333333334,0.280409005289279,0.9352204502814259,0.7380987918015129
snips,lstm,0.2,temporalrnn,0.5197499999999999,0.020803255123389066,40.0,0.9388055880763542,207.9,400.0,435.5,40.733333333333334,0.4775362328040142,0.9820121951219513,0.6794407365115215
